hour,t(sec),V1,VAngle1,I1,IAngle1
9, 1800.00000, 2422.34, -1.0757, 23.9254, -27.6735
9, 2700.00000, 2422.57, -1.0666, 23.9043, -27.6644
10, 0.00000, 2422.8, -1.0575, 23.8832, -27.6553
10, 900.00000, 2423.03, -1.04841, 23.8621, -27.6461
10, 1800.00000, 2423.25, -1.04324, 23.7966, -27.6408
10, 2700.00000, 2423.48, -1.03809, 23.7312, -27.6356
11, 0.00000, 2423.7, -1.03293, 23.6658, -27.6303
11, 900.00000, 2423.92, -1.02777, 23.6003, -27.625
11, 1800.00000, 2424.08, -1.02475, 23.5255, -27.6219
11, 2700.00000, 2424.24, -1.02173, 23.4507, -27.6187
12, 0.00000, 2424.4, -1.01871, 23.3759, -27.6155
12, 900.00000, 2424.56, -1.01569, 23.3011, -27.6124
12, 1800.00000, 2424.49, -1.02027, 23.2573, -27.6169
12, 2700.00000, 2424.42, -1.02486, 23.2136, -27.6214
13, 0.00000, 2424.35, -1.02946, 23.1699, -27.626
13, 900.00000, 2424.28, -1.03406, 23.1262, -27.6305
13, 1800.00000, 2424.03, -1.04351, 23.1159, -27.6399
13, 2700.00000, 2423.79, -1.05297, 23.1058, -27.6494
14, 0.00000, 2423.54, -1.06244, 23.0956, -27.6588
14, 900.00000, 2423.29, -1.0719, 23.0854, -27.6683
14, 1800.00000, 2422.69, -1.09358, 23.1435, -27.6901
14, 2700.00000, 2422.08, -1.1153, 23.2018, -27.7119
15, 0.00000, 2421.46, -1.13702, 23.2601, -27.7337
15, 900.00000, 2420.84, -1.15876, 23.3184, -27.7556
15, 1800.00000, 2419.45, -1.19589, 23.6031, -27.7932
15, 2700.00000, 2417.55, -1.252, 23.888, -27.8499
16, 0.00000, 2416.33, -1.28149, 24.1723, -27.8799
16, 900.00000, 2414.44, -1.33335, 24.4575, -27.9322
16, 1800.00000, 2412.58, -1.36048, 25.1577, -27.9606
16, 2700.00000, 2410.72, -1.38762, 25.8582, -27.989
17, 0.00000, 2408.84, -1.42146, 26.5593, -28.024
17, 900.00000, 2407.04, -1.4471, 27.2595, -28.0509
17, 1800.00000, 2421.79, -1.44525, 27.4159, -28.049
17, 2700.00000, 2421.38, -1.45122, 27.5875, -28.0553
18, 0.00000, 2420.97, -1.4573, 27.7599, -28.0617
18, 900.00000, 2420.56, -1.46338, 27.9324, -28.0681
18, 1800.00000, 2420.93, -1.45852, 27.839, -28.063
18, 2700.00000, 2421.31, -1.45356, 27.745, -28.0579
19, 0.00000, 2421.69, -1.44859, 27.651, -28.0528
19, 900.00000, 2422.06, -1.44362, 27.5569, -28.0477
19, 1800.00000, 2422.62, -1.43617, 27.3999, -28.0399
19, 2700.00000, 2423.17, -1.42868, 27.2428, -28.0322
20, 0.00000, 2423.73, -1.42119, 27.0856, -28.0244
20, 900.00000, 2424.3, -1.41333, 26.9277, -28.0163
20, 1800.00000, 2425.37, -1.40064, 26.6337, -28.0031
20, 2700.00000, 2411.2, -1.38681, 26.3546, -27.989
21, 0.00000, 2412.15, -1.3735, 26.0613, -27.9752
21, 900.00000, 2413.1, -1.36032, 25.7677, -27.9615
21, 1800.00000, 2414.37, -1.33647, 25.3427, -27.9369
21, 2700.00000, 2415.7, -1.31778, 24.9188, -27.9175
22, 0.00000, 2417.03, -1.29902, 24.4947, -27.898
22, 900.00000, 2418.38, -1.27997, 24.0704, -27.8782
22, 1800.00000, 2419.73, -1.26083, 23.6297, -27.8583
22, 2700.00000, 2421.15, -1.23563, 23.1885, -27.8323
23, 0.00000, 2422.49, -1.21647, 22.7479, -27.8123
23, 900.00000, 2423.77, -1.19888, 22.3073, -27.794
23, 1800.00000, 2409.6, -1.19253, 22.023, -27.7873
23, 2700.00000, 2410.48, -1.17982, 21.7264, -27.7741
24, 0.00000, 2411.36, -1.16699, 21.4291, -27.7607
